,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
3013,No,Male,0,Yes,No,57,Month-to-month,Yes,Electronic check,103.05,5925.75,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
3014,No,Female,0,Yes,No,57,Two year,Yes,Credit card (automatic),70.35,4124.65,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No
3015,No,Male,0,No,No,26,One year,Yes,Credit card (automatic),51.55,1295.4,Yes,Yes,DSL,No,No,No,No,No,No
3016,Yes,Female,0,Yes,Yes,10,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,No,DSL,No,No,Yes,Yes,No,No
3017,No,Male,0,No,No,63,Month-to-month,No,Electronic check,105.4,6713.2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
3018,Yes,Male,0,Yes,No,5,Month-to-month,Yes,Electronic check,94.45,498.1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
3019,No,Male,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),24.75,1769.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3020,Yes,Female,1,No,No,1,Month-to-month,No,Mailed check,45.1,45.1,Yes,No,DSL,No,No,No,No,No,No
3021,No,Female,0,Yes,Yes,54,Two year,No,Bank transfer (automatic),60.0,3273.95,Yes,Yes,DSL,Yes,No,No,Yes,No,No
3022,No,Female,0,Yes,Yes,59,Month-to-month,Yes,Bank transfer (automatic),96.65,5580.8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes
3023,No,Female,0,No,No,1,Month-to-month,No,Electronic check,25.25,25.25,No,No phone service,DSL,No,No,No,No,No,No
3024,No,Male,0,Yes,Yes,69,Two year,No,Bank transfer (automatic),24.45,1718.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3025,Yes,Male,0,No,No,2,Month-to-month,No,Mailed check,20.35,33.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3026,No,Female,0,No,No,12,One year,Yes,Mailed check,33.6,435.45,No,No phone service,DSL,Yes,No,No,Yes,No,No
3027,No,Male,1,Yes,No,67,Two year,No,Bank transfer (automatic),102.9,6989.7,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
3028,Yes,Female,1,No,No,1,Month-to-month,Yes,Electronic check,55.8,55.8,Yes,No,DSL,Yes,No,Yes,No,No,No
3029,No,Female,0,No,Yes,28,Month-to-month,No,Mailed check,20.25,535.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3030,Yes,Male,1,No,No,2,Month-to-month,No,Mailed check,44.95,85.15,Yes,No,DSL,No,No,No,No,No,No
3031,Yes,Female,0,No,No,4,Month-to-month,Yes,Electronic check,79.15,317.25,Yes,No,Fiber optic,No,No,No,No,No,Yes
3032,Yes,Male,0,No,No,1,Month-to-month,No,Mailed check,20.25,20.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3033,No,Female,0,No,No,33,Two year,No,Credit card (automatic),25.7,826.1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3034,No,Female,0,Yes,No,61,Month-to-month,Yes,Electronic check,106.35,6751.35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3035,No,Female,0,No,Yes,21,One year,No,Mailed check,64.85,1336.8,Yes,No,DSL,Yes,No,Yes,No,No,Yes
3036,No,Male,1,No,No,2,Month-to-month,No,Mailed check,49.95,107.1,Yes,No,DSL,No,No,Yes,No,No,No
3037,No,Male,0,No,No,8,Month-to-month,Yes,Electronic check,66.65,520.95,Yes,No,DSL,No,Yes,No,Yes,Yes,No
3038,No,Female,0,Yes,Yes,68,One year,Yes,Credit card (automatic),73.0,5163,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No
3039,Yes,Male,0,No,No,4,Month-to-month,Yes,Electronic check,90.05,368.1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
3040,Yes,Male,0,No,No,6,Month-to-month,Yes,Electronic check,74.9,469.8,Yes,Yes,Fiber optic,No,No,No,No,No,No
3041,No,Female,0,Yes,No,72,Two year,No,Bank transfer (automatic),25.65,1887,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3042,No,Male,0,No,No,1,Month-to-month,No,Electronic check,19.2,19.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3043,No,Male,0,No,No,2,Month-to-month,Yes,Electronic check,79.95,174.45,Yes,No,Fiber optic,No,No,No,No,Yes,No
3044,No,Female,0,No,No,2,Month-to-month,No,Electronic check,24.5,46.4,No,No phone service,DSL,No,No,No,No,No,No
3045,Yes,Female,0,Yes,Yes,5,Month-to-month,Yes,Mailed check,99.15,465.05,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
3046,No,Male,0,Yes,No,2,Month-to-month,No,Mailed check,20.0,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3047,Yes,Male,0,No,No,1,Month-to-month,Yes,Mailed check,45.85,45.85,Yes,No,DSL,No,No,No,No,No,No
3048,No,Male,1,Yes,No,61,Month-to-month,Yes,Electronic check,82.15,4904.85,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
3049,No,Female,1,Yes,No,35,Month-to-month,No,Bank transfer (automatic),102.05,3452.55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3050,Yes,Male,1,Yes,No,30,Month-to-month,Yes,Mailed check,79.65,2365.15,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
3051,Yes,Female,1,Yes,No,17,Month-to-month,Yes,Bank transfer (automatic),85.35,1463.45,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
3052,Yes,Female,0,No,No,6,Month-to-month,No,Electronic check,56.25,389.1,Yes,No,DSL,Yes,Yes,No,No,No,No
3053,,Male,0,No,Yes,2,Month-to-month,No,Mailed check,19.25,48.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3054,No,Male,1,Yes,Yes,60,Month-to-month,Yes,Electronic check,93.25,5774.55,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes
3055,Yes,Male,0,No,No,68,One year,No,Electronic check,108.45,7176.55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3056,No,Female,0,Yes,No,52,Two year,No,Credit card (automatic),66.25,3330.1,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3057,Yes,Female,0,Yes,Yes,1,Month-to-month,Yes,Mailed check,20.5,20.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3058,No,Female,0,No,Yes,5,Month-to-month,Yes,Mailed check,51.0,286.8,Yes,No,DSL,No,No,No,Yes,No,No
3059,No,Female,0,No,No,6,Month-to-month,No,Credit card (automatic),45.0,298.7,No,No phone service,DSL,No,No,No,No,Yes,Yes
3060,,Male,0,No,Yes,33,One year,Yes,Mailed check,20.15,682.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3061,No,Female,0,No,Yes,1,Month-to-month,Yes,Electronic check,89.35,89.35,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
3062,No,Female,0,No,No,66,One year,Yes,Bank transfer (automatic),88.9,6000.1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
3063,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,74.35,74.35,Yes,No,Fiber optic,No,Yes,No,No,No,No
3064,No,Male,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),19.95,1322.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3065,Yes,Female,0,No,No,8,Month-to-month,Yes,Bank transfer (automatic),80.1,679.3,Yes,No,Fiber optic,No,No,No,No,Yes,No
3066,No,Male,0,Yes,Yes,24,Month-to-month,No,Bank transfer (automatic),81.0,1923.85,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes
3067,No,Male,0,Yes,No,8,Month-to-month,Yes,Mailed check,54.75,445.85,Yes,No,DSL,No,Yes,Yes,No,No,No
3068,No,Male,1,Yes,No,38,Month-to-month,Yes,Electronic check,24.85,955.75,No,No phone service,DSL,No,No,No,No,No,No
3069,No,Male,0,No,No,68,One year,Yes,Credit card (automatic),117.2,8035.95,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3070,Yes,Female,0,No,No,9,Month-to-month,Yes,Electronic check,74.75,706.6,Yes,Yes,Fiber optic,No,No,No,No,No,No
3071,Yes,Male,1,No,No,19,Month-to-month,Yes,Electronic check,79.85,1471.75,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
3072,No,Male,0,No,No,9,Month-to-month,No,Mailed check,64.95,547.8,Yes,No,DSL,Yes,No,No,Yes,No,Yes
3073,Yes,Female,0,Yes,No,7,Month-to-month,Yes,Electronic check,86.25,587.1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
3074,Yes,Male,0,Yes,No,40,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
3075,Yes,Male,0,Yes,No,3,Month-to-month,Yes,Bank transfer (automatic),79.65,251.75,Yes,Yes,Fiber optic,No,No,No,Yes,No,No
3076,,Female,0,No,No,4,Month-to-month,Yes,Electronic check,79.0,303.15,Yes,No,Fiber optic,No,No,No,No,Yes,No
3077,No,Male,0,No,Yes,1,Month-to-month,No,Mailed check,19.85,19.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3078,No,Female,1,Yes,Yes,28,One year,Yes,Electronic check,39.1,1096.6,No,No phone service,DSL,No,Yes,No,No,No,Yes
3079,No,Male,0,No,No,7,Month-to-month,Yes,Electronic check,69.55,521.35,Yes,No,Fiber optic,No,No,No,No,No,No
3080,No,Male,0,Yes,No,72,Two year,Yes,Bank transfer (automatic),82.3,5980.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
3081,No,Female,0,No,Yes,7,One year,No,Mailed check,20.05,96.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3082,No,Female,0,Yes,Yes,65,Two year,Yes,Bank transfer (automatic),79.4,5071.9,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
3083,No,Female,1,Yes,Yes,56,Two year,Yes,Credit card (automatic),72.6,4084.35,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
3084,No,Male,0,Yes,No,15,Month-to-month,Yes,Electronic check,103.45,1539.8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3085,No,Female,0,No,No,56,Two year,Yes,Bank transfer (automatic),19.55,1080.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3086,No,Male,0,No,No,9,Month-to-month,Yes,Electronic check,81.15,784.45,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
3087,No,Male,0,Yes,No,16,Month-to-month,Yes,Electronic check,75.4,1189.4,Yes,Yes,Fiber optic,No,No,No,No,No,No
3088,No,Male,0,Yes,Yes,69,One year,Yes,Credit card (automatic),20.55,1403.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3089,No,Female,0,Yes,No,68,Two year,No,Bank transfer (automatic),114.9,7843.55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3090,No,Male,1,Yes,Yes,50,Two year,Yes,Bank transfer (automatic),75.15,3822.45,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes
3091,Yes,Male,0,Yes,No,53,Month-to-month,No,Electronic check,93.9,5029.2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
3092,No,Male,0,No,No,10,Month-to-month,No,Electronic check,35.75,389.8,No,No phone service,DSL,No,Yes,No,Yes,No,No
3093,No,Female,0,No,Yes,26,Month-to-month,Yes,Mailed check,29.8,786.5,No,No phone service,DSL,No,No,Yes,No,No,No
3094,No,Female,0,No,No,16,One year,No,Credit card (automatic),19.35,295.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3095,No,Female,0,Yes,No,70,Two year,Yes,Bank transfer (automatic),49.85,3370.2,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes
3096,No,Male,0,Yes,No,72,Two year,No,Mailed check,25.4,1710.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3097,Yes,Female,0,No,No,12,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
3098,No,Male,0,No,Yes,17,Month-to-month,Yes,Mailed check,50.3,846.8,Yes,No,DSL,Yes,No,No,No,No,No
3099,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,50.75,50.75,Yes,No,DSL,No,Yes,No,No,No,No
3100,No,Female,0,No,No,10,One year,Yes,Mailed check,19.8,198.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3101,No,Male,0,No,No,7,Month-to-month,No,Mailed check,54.85,370.4,Yes,No,DSL,No,No,No,No,Yes,No
3102,Yes,Male,0,Yes,Yes,68,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
3103,No,Male,0,Yes,Yes,13,One year,No,Mailed check,20.0,218.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3104,No,Female,1,Yes,No,70,One year,Yes,Bank transfer (automatic),105.55,7195.35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
3105,Yes,Male,0,Yes,Yes,7,Month-to-month,Yes,Electronic check,34.5,279.25,No,No phone service,DSL,Yes,No,No,Yes,No,No
3106,No,Female,0,No,No,5,Month-to-month,No,Credit card (automatic),55.8,300.4,Yes,No,DSL,Yes,No,Yes,No,No,No
3107,No,Female,0,Yes,Yes,10,Month-to-month,Yes,Mailed check,55.55,551.3,Yes,No,DSL,No,Yes,Yes,No,No,No
3108,Yes,Male,1,No,No,19,Month-to-month,Yes,Electronic check,90.6,1660,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
3109,No,Female,0,No,No,39,One year,No,Electronic check,59.3,2209.15,Yes,No,DSL,No,No,No,Yes,No,Yes
3110,No,Male,0,No,No,20,Month-to-month,Yes,Bank transfer (automatic),108.2,2203.7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3111,No,Male,1,Yes,Yes,20,One year,No,Credit card (automatic),94.3,1818.3,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes
3112,No,Male,1,Yes,No,72,Two year,Yes,Credit card (automatic),64.95,4546,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3113,No,Female,0,No,No,62,Two year,Yes,Credit card (automatic),25.8,1563.95,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3114,No,Female,0,No,Yes,24,Two year,No,Mailed check,19.75,498.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3115,No,Male,0,Yes,No,21,Month-to-month,No,Bank transfer (automatic),54.6,1125.2,Yes,No,DSL,No,No,No,No,Yes,No
3116,Yes,Female,1,No,No,2,Month-to-month,Yes,Electronic check,70.65,142.35,Yes,No,Fiber optic,No,No,No,No,No,No
3117,No,Female,0,Yes,Yes,48,One year,No,Bank transfer (automatic),69.7,3023.65,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No
3118,No,Male,0,No,No,7,Month-to-month,No,Mailed check,74.35,533.6,Yes,No,Fiber optic,Yes,No,No,No,No,No
3119,Yes,Male,0,No,No,1,Month-to-month,No,Electronic check,54.35,54.35,Yes,Yes,DSL,No,No,Yes,No,No,No
3120,No,Female,0,Yes,No,53,One year,Yes,Bank transfer (automatic),108.95,5718.2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3121,Yes,Female,0,No,No,1,Month-to-month,Yes,Credit card (automatic),55.0,55,Yes,No,DSL,No,No,No,No,Yes,No
3122,No,Female,0,Yes,Yes,27,Month-to-month,No,Mailed check,49.85,1336.15,Yes,No,DSL,No,Yes,No,No,No,No
3123,No,Female,0,Yes,Yes,56,One year,No,Bank transfer (automatic),88.9,4968,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
3124,Yes,Male,0,Yes,Yes,67,Two year,Yes,Electronic check,79.7,5293.4,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
3125,No,Female,0,No,No,17,One year,No,Credit card (automatic),20.05,337.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3126,No,Male,0,No,No,18,Month-to-month,Yes,Bank transfer (automatic),75.6,1395.05,Yes,Yes,Fiber optic,No,No,No,No,No,No
3127,No,Male,1,No,No,37,Month-to-month,No,Electronic check,36.65,1315,No,No phone service,DSL,No,Yes,Yes,No,No,No
3128,Yes,Female,0,No,No,41,Month-to-month,Yes,Bank transfer (automatic),114.5,4527.45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3129,No,Male,0,No,No,48,Two year,No,Credit card (automatic),20.15,982.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3130,Yes,Male,0,No,Yes,1,Month-to-month,Yes,Electronic check,44.4,44.4,Yes,No,DSL,No,No,No,No,No,No
3131,No,Male,0,Yes,No,8,Month-to-month,Yes,Bank transfer (automatic),19.55,161.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3132,No,Female,0,No,No,50,Two year,Yes,Mailed check,100.2,5038.45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
3133,No,Female,0,No,No,1,Month-to-month,Yes,Mailed check,24.9,24.9,No,No phone service,DSL,No,No,No,No,No,No
3134,No,Male,0,Yes,Yes,0,Two year,No,Mailed check,25.75, ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3135,Yes,Male,1,No,No,6,Month-to-month,Yes,Bank transfer (automatic),85.15,503.6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
3136,No,Male,0,No,No,56,One year,Yes,Bank transfer (automatic),75.75,4284.65,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
3137,Yes,Female,0,Yes,Yes,14,Month-to-month,Yes,Bank transfer (automatic),90.9,1259,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
3138,No,Male,0,No,No,1,Month-to-month,Yes,Electronic check,44.75,44.75,Yes,No,DSL,No,No,No,No,No,No
3139,No,Male,0,No,No,34,One year,No,Credit card (automatic),116.25,3899.05,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3140,No,Male,0,Yes,Yes,72,Two year,Yes,Credit card (automatic),114.05,8468.2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3141,No,Male,0,Yes,Yes,32,One year,Yes,Electronic check,90.8,3023.85,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes
3142,No,Male,0,No,No,17,One year,Yes,Mailed check,20.5,365.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3143,No,Male,0,Yes,Yes,68,Two year,Yes,Bank transfer (automatic),105.25,7173.15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
3144,No,Female,0,No,No,47,Two year,Yes,Mailed check,65.0,2879.9,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
3145,Yes,Female,1,No,No,16,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
3146,No,Male,0,Yes,Yes,44,Month-to-month,Yes,Bank transfer (automatic),54.9,2549.1,Yes,No,DSL,No,Yes,No,Yes,No,No
3147,No,Female,0,Yes,No,72,Two year,Yes,Electronic check,105.5,7544,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
3148,Yes,Male,0,Yes,No,3,Month-to-month,Yes,Credit card (automatic),20.55,51.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3149,No,Male,0,No,No,22,Month-to-month,Yes,Bank transfer (automatic),94.95,2142.8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes
3150,Yes,Male,0,No,No,23,Month-to-month,Yes,Mailed check,104.05,2470.1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3151,No,Male,0,Yes,Yes,70,Two year,No,Credit card (automatic),114.75,7842.3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3152,No,Female,0,No,No,3,One year,No,Mailed check,20.25,71.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3153,No,Male,0,No,No,44,One year,Yes,Electronic check,106.05,4510.8,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
3154,No,Male,1,No,No,5,Month-to-month,Yes,Electronic check,85.55,408.5,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
3155,No,Male,0,No,No,4,Month-to-month,Yes,Electronic check,19.85,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3156,No,Female,0,No,No,4,Month-to-month,No,Mailed check,20.15,84.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3157,Yes,Female,0,No,No,3,Month-to-month,Yes,Electronic check,63.6,155.65,Yes,Yes,DSL,No,No,No,Yes,Yes,No
3158,No,Male,0,No,No,54,Month-to-month,No,Mailed check,89.8,4667,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No
3159,No,Male,0,No,No,14,One year,Yes,Credit card (automatic),24.8,321.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3160,Yes,Female,0,No,No,25,One year,No,Mailed check,74.3,1863.8,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
3161,Yes,Female,1,No,No,27,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
3162,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,74.5,74.5,Yes,Yes,Fiber optic,No,No,No,No,No,No
3163,No,Female,1,Yes,No,12,One year,Yes,Electronic check,79.2,943.85,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
3164,No,Male,0,Yes,Yes,13,Month-to-month,No,Bank transfer (automatic),61.8,750.1,Yes,No,DSL,No,Yes,Yes,Yes,No,No
3165,No,Male,0,Yes,Yes,69,Two year,Yes,Electronic check,99.35,6856.45,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
3166,No,Female,0,No,Yes,35,Month-to-month,No,Mailed check,50.15,1655.35,Yes,Yes,DSL,No,No,No,No,No,No
3167,No,Male,0,Yes,Yes,64,One year,No,Credit card (automatic),90.25,5629.15,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
3168,Yes,Female,0,Yes,No,21,Month-to-month,Yes,Bank transfer (automatic),104.4,2200.25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
3169,Yes,Male,1,No,No,2,Month-to-month,Yes,Electronic check,93.85,196.75,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
3170,No,Female,0,No,No,20,One year,Yes,Credit card (automatic),19.35,433.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3171,No,Male,0,No,No,26,Month-to-month,No,Bank transfer (automatic),49.15,1237.3,Yes,No,DSL,No,No,No,Yes,No,No
3172,Yes,Male,0,No,No,3,Month-to-month,Yes,Mailed check,36.85,108.7,No,No phone service,DSL,No,Yes,No,Yes,No,No
3173,No,Female,0,No,Yes,4,Month-to-month,Yes,Mailed check,25.45,84.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3174,No,Female,0,Yes,Yes,7,Month-to-month,Yes,Electronic check,75.7,554.05,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
3175,Yes,Male,0,No,No,2,Month-to-month,No,Mailed check,44.65,74.9,Yes,No,DSL,No,No,No,No,No,No
3176,Yes,Male,1,Yes,No,46,Month-to-month,Yes,Electronic check,101.0,4680.05,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3177,,Male,0,Yes,Yes,62,Two year,No,Bank transfer (automatic),115.55,7159.05,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3178,Yes,Female,0,Yes,Yes,5,Month-to-month,Yes,Electronic check,85.75,470.95,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
3179,No,Female,0,No,No,10,Month-to-month,No,Electronic check,36.25,374,No,No phone service,DSL,No,Yes,No,Yes,No,No
3180,Yes,Female,1,No,No,13,Month-to-month,Yes,Electronic check,74.3,940.35,Yes,No,Fiber optic,No,No,Yes,No,No,No
3181,No,Female,0,Yes,No,71,Two year,No,Bank transfer (automatic),24.75,1836.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3182,No,Female,0,No,No,42,One year,Yes,Bank transfer (automatic),60.15,2421.6,Yes,Yes,DSL,Yes,Yes,No,No,No,No
3183,No,Male,0,No,No,9,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
3184,Yes,Male,0,Yes,No,61,Month-to-month,Yes,Electronic check,105.55,6281.45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3185,No,Male,0,No,No,2,Month-to-month,Yes,Credit card (automatic),71.3,157.75,Yes,No,Fiber optic,No,No,No,No,No,No
3186,No,Male,0,Yes,Yes,60,Month-to-month,No,Bank transfer (automatic),74.35,4453.3,Yes,Yes,Fiber optic,No,No,No,No,No,No
3187,No,Female,0,No,No,39,Month-to-month,Yes,Credit card (automatic),50.65,1905.4,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
3188,No,Male,0,Yes,Yes,15,One year,Yes,Mailed check,19.5,239.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3189,No,Male,0,No,No,7,Month-to-month,No,Mailed check,43.9,278.4,Yes,No,DSL,No,No,No,No,No,No
3190,No,Female,0,No,No,15,Two year,No,Mailed check,19.6,331.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3191,No,Female,0,Yes,No,61,One year,No,Bank transfer (automatic),101.15,6383.9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
3192,No,Female,0,Yes,Yes,19,Month-to-month,Yes,Bank transfer (automatic),49.6,962.9,Yes,No,DSL,No,No,Yes,No,No,No
3193,No,Male,0,No,No,59,Two year,No,Mailed check,25.0,1510.5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3194,No,Male,0,No,Yes,30,Month-to-month,Yes,Electronic check,44.5,1307.8,No,No phone service,DSL,No,No,No,No,Yes,Yes
3195,No,Male,1,Yes,No,62,Month-to-month,Yes,Bank transfer (automatic),89.8,5629.55,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
3196,Yes,Male,0,Yes,Yes,2,One year,No,Mailed check,19.85,35.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197,No,Female,0,No,No,18,Month-to-month,No,Electronic check,77.8,1358.6,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
3198,No,Female,1,Yes,No,20,Month-to-month,Yes,Electronic check,60.0,1259.35,Yes,No,DSL,No,Yes,No,No,No,Yes
